"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",2,2022,5634.21316705765792910,3374196.258920293911869
"MYS",3,2022,16883.82928169946697722,12302190.719215490192996
"MYS",4,2022,8.21974096370524121,6338.235361320709603
"MYS",5,2022,37.53800176295464315,22651.474350981023086
"MYS",6,2022,1695.06250939252383095,802927.09712788689849
"MYS",7,2022,5008.24364767265652095,2684963.076569986598899
"MYS",8,2022,34213.74000915473173892,16061463.953224678523206
"MYS",9,2022,13018.47802400000243217,5352542.470749576676641
"MYS",10,2022,190.03164328417006026,135173.72305710708153
"MYS",11,2022,280.31556712827985104,76759.960127103015596
"MYS",12,2022,14.90632633709541384,6169.638414657286526
"MYS",13,2022,64220.83537122169063395,20029289.055362100122518
"MYS",14,2022,75323.39773912766388734,46733833.196311417744726
"MYS",15,2022,3865.52607913513872291,1468167.458859041875799
"MYS",16,2022,11949.75617597061784985,6257096.707158605164917
"MYS",1,2023,24700.85008893200531809,9172151.540399888268071
"MYS",2,2023,7387.76017086649619371,4419718.205082811262131
"MYS",3,2023,22405.89724935533492549,15998498.598796976481799
"MYS",4,2023,12.29100695939371968,9305.942114341489875
"MYS",5,2023,36.16004948155193320,22167.75013926374950
"MYS",6,2023,1987.99953678503902894,851734.345747368333915
"MYS",7,2023,5853.84946537110447294,3074966.546733252787583
"MYS",8,2023,44907.27315330855475230,19893183.712240370534100
"MYS",9,2023,17571.76318724612152090,6889724.984514514705826
"MYS",10,2023,217.77418458012102779,253112.15878323886156
"MYS",11,2023,895.06740034481982517,109904.35704958401289
"MYS",12,2023,22.43627009086548696,9753.25193074330332
"MYS",13,2023,81566.63518220113476035,24725224.835097590300290
"MYS",14,2023,85124.47150448473189627,52600046.791500422976646
"MYS",15,2023,5656.69494855606917175,2196869.259174997456613
"MYS",16,2023,10308.62165879525871557,6290783.881267464938257
"MYS",1,2024,19268.09353483559840676,7699124.910185256671524
"MYS",2,2024,6900.52827734236419663,4730147.645928720857580
"MYS",3,2024,19724.69395245005548298,14282064.829368210239537
"MYS",4,2024,15.44072424075128340,10499.72849493397152
"MYS",5,2024,19.38209270641086969,11935.497250198153544
"MYS",6,2024,2102.77821752120821593,920733.638261471401849
"MYS",7,2024,5846.59267454727687468,3304434.011796614517294
"MYS",8,2024,38447.90095535902067577,18216265.610370582322009
"MYS",9,2024,14915.03829602764716175,5625054.049713816995993
"MYS",10,2024,267.08109164053753456,181771.294292777831371
"MYS",11,2024,385.25174885795054457,81699.520991387929729
"MYS",12,2024,18.05656650688489399,5955.800662323671896
